symbol,last_close,pct_1d,pct_5d,pct_20d,volume_ratio,above_50dma,near_52w_high,pct_from_52w_high,breakout,big_mover,volume_spike,higher_lows,momentum_score
PGEL,620.95,3.53,6.38,10.05,2.18,True,True,0.0,True,False,True,False,69.5
GRADIENTE,3.55,3.8,25.44,40.87,2.07,True,False,30.53,True,False,True,False,69.2
GLOBUSSPR,988.55,3.26,7.27,10.96,4.93,True,False,12.27,True,False,True,False,69.2
MRPL,173.33,10.07,15.8,8.96,30.28,True,False,7.42,True,True,True,False,69.0
URAVIDEF,131.86,1.31,15.84,14.54,3.56,True,False,7.69,True,False,True,False,68.6
LAMBODHARA,117.5,2.49,8.38,8.24,2.52,True,True,0.71,True,False,True,False,68.3
SPLIL,33.93,0.8,7.89,13.97,3.64,True,False,5.17,True,False,True,False,68.0
BEPL,109.68,3.07,8.33,2.45,3.39,True,True,0.0,True,False,True,False,67.5
JUSTDIAL,793.35,-1.33,45.14,44.43,2.5,True,True,1.33,False,False,True,False,67.5
SHYAMCENT,5.91,2.78,7.85,18.44,2.19,True,True,0.51,False,False,True,False,67.2
DBSTOCKBRO,42.3,-5.31,19.97,38.24,2.38,True,False,5.31,False,False,True,True,66.9
FIEMIND,2311.3,2.14,4.64,0.95,3.87,True,True,3.16,True,False,True,False,66.7
HSCL,722.35,5.99,11.12,4.64,2.38,True,True,0.0,True,False,True,False,66.5
IIFL,567.1,4.32,4.11,7.16,2.26,True,True,0.0,True,False,True,False,66.0
JINDWORLD,32.06,6.51,11.86,5.5,40.56,True,True,1.17,False,False,True,False,65.5
ROSSELLIND,59.29,4.33,4.4,5.18,2.37,True,True,0.0,True,False,True,False,65.1
CHEMICAL,30.38,1.47,3.3,1.81,4.18,True,True,0.0,True,False,True,False,64.9
ONWARDTEC,288.2,1.62,2.86,12.4,4.45,True,True,1.35,False,False,True,False,64.7
GROBTEA,955.55,3.57,5.9,1.37,2.83,True,True,0.68,True,False,True,False,64.1
ATHERENERG,1267.1,-2.26,4.0,30.76,2.16,True,True,2.26,False,False,True,False,63.8
ASKAUTOLTD,485.0,2.57,1.05,4.7,3.68,True,True,0.0,True,False,True,False,62.8
BECTORFOOD,192.23,13.77,12.36,2.5,61.73,True,False,6.85,True,True,True,False,62.5
ADOR,1352.8,-0.7,2.08,15.15,3.61,True,True,0.7,False,False,True,False,62.3
BORANA,325.5,7.41,6.69,2.26,7.81,True,False,7.01,True,False,True,False,62.3
HEG,608.45,3.9,18.32,12.96,2.09,True,False,8.97,True,False,True,False,62.3
THACKER,1465.6,-6.46,13.45,27.55,3.36,True,False,6.46,False,False,True,False,61.8
ASAL,531.8,1.62,5.01,4.72,4.28,True,True,4.46,False,False,True,False,61.3
KSHINTL,903.3,2.41,6.5,2.0,2.3,True,True,0.0,True,False,True,False,60.9
TORNTPHARM,4987.6,-0.6,1.83,12.19,8.54,True,True,0.6,False,False,True,False,60.8
DEEPAKFERT,1601.1,3.38,3.55,4.94,5.11,True,True,3.8,False,False,True,False,60.4
AXISCETF,121.12,0.74,1.94,5.8,2.97,True,True,0.0,True,False,True,False,60.3
JUBLPHARMA,1020.7,-0.75,5.31,4.85,2.09,True,True,0.75,False,False,True,True,60.3
ACI,549.15,0.98,4.7,4.71,4.62,True,False,12.16,True,False,True,False,60.1
ERIS,1488.4,1.97,4.08,4.04,2.19,True,True,0.0,True,False,True,False,60.1
PLAZACABLE,60.55,8.13,48.01,0.0,5.42,True,True,0.0,False,True,True,False,60.0
ORICONENT,59.66,3.45,8.69,4.59,3.25,True,False,13.69,True,False,True,False,59.3
SINTERCOM,80.17,2.15,5.5,2.13,8.35,True,False,5.69,True,False,True,False,59.3
KAUSHALYA,1146.15,-10.0,29.47,36.76,2.73,True,False,10.0,False,True,True,False,58.7
ALIVUS,1164.1,-0.37,1.85,9.82,5.75,True,True,0.37,False,False,True,False,58.5
GANESHBE,107.44,3.45,11.16,2.1,3.56,True,True,4.03,False,False,True,False,58.3
CRISIL,4231.1,0.5,4.35,2.66,2.26,True,True,3.04,True,False,True,False,58.2
HDBFS,752.25,0.07,2.36,8.17,4.32,True,True,0.53,False,False,True,False,58.0
SASTASUNDR,282.6,3.86,4.43,0.0,6.08,True,True,0.0,False,False,True,False,57.7
DBCORP,210.61,1.03,4.56,2.55,5.07,True,False,9.01,True,False,True,False,57.7
SICALLOG,93.5,3.85,4.07,0.0,5.4,True,True,2.27,False,False,True,False,57.0
LANDMARK,499.7,-2.83,16.47,11.64,2.07,True,True,2.83,False,False,True,False,57.0
RPEL,1303.4,3.04,1.12,9.55,3.41,True,True,0.99,False,False,True,False,56.9
ENDURANCE,2763.5,0.63,2.09,5.34,2.22,True,True,1.35,True,False,True,False,56.3
LAXMIINDIA,138.67,7.12,19.68,0.0,3.02,True,True,0.0,False,False,True,False,55.1
ASPINWALL,256.8,-3.95,5.64,2.15,3.56,True,True,3.95,False,False,True,False,54.9
PNBGILTS,91.34,4.27,4.59,0.16,3.21,True,True,3.29,False,False,True,False,54.6
JBCHEPHARM,2408.9,-3.87,-1.46,9.57,11.79,True,True,3.87,False,False,True,False,54.6
ORIENTLTD,72.59,2.07,7.03,2.86,2.91,True,True,1.56,False,False,True,False,54.5
NILKAMAL,1341.1,-1.79,2.35,3.23,26.98,True,True,1.79,False,False,True,False,52.9
SVPGLOB,4.47,4.68,20.81,0.0,2.62,True,True,0.0,False,False,True,False,52.8
